,type,n,m,k,mean,std
0,1,100,300,3,0.7173333333333334,0.019539134519670463
1,1,100,300,4,0.695,0.016003471845543737
2,1,100,300,5,0.6823333333333333,0.013666666666666652
3,1,100,300,6,0.6746666666666666,0.017461067804945062
4,1,100,600,3,0.6581666666666666,0.015854371987281974
5,1,100,600,4,0.6446666666666667,0.011445523142259589
6,1,100,600,5,0.6275,0.012477757989496557
7,1,100,600,6,0.6276666666666666,0.01188369564665061
8,1,100,1000,3,0.6261000000000001,0.006268173577685934
9,1,100,1000,4,0.6039,0.0064257295305669435
10,1,100,1000,5,0.6046,0.008212186067059132
11,1,100,1000,6,0.5936,0.006248199740725329
12,1,200,600,3,0.7133333333333333,0.009309493362512616
13,1,200,600,4,0.686,0.011160446028522134
14,1,200,600,5,0.6705,0.012759528030282147
15,1,200,600,6,0.6506666666666666,0.01293573860795484
16,1,200,1200,3,0.6553333333333333,0.005325515102890148
17,1,200,1200,4,0.6367499999999999,0.007373469709407874
18,1,200,1200,5,0.6240833333333333,0.006481276451783586
19,1,200,1200,6,0.61275,0.006635866350539483
20,1,200,2000,3,0.6225,0.003937003937005889
21,1,200,2000,4,0.6077999999999999,0.004600000000000006
22,1,200,2000,5,0.59575,0.00550113624626768
23,1,200,2000,6,0.58995,0.005101225342993601
24,1,400,1200,3,0.713,0.009553940431977692
25,1,400,1200,4,0.68775,0.008998842518161255
26,1,400,1200,5,0.6716666666666666,0.008432740427115672
27,1,400,1200,6,0.6571666666666667,0.01086022303842994
28,1,400,2400,3,0.6500416666666666,0.00593497753435793
29,1,400,2400,4,0.6354166666666666,0.005470882520723281
30,1,400,2400,5,0.6209999999999999,0.00624777738257553
31,1,400,2400,6,0.618625,0.0028628972310503283
32,1,400,4000,3,0.621425,0.0035725516091443758
33,1,400,4000,4,0.606075,0.002091799464575906
34,1,400,4000,5,0.595225,0.005205105666554714
35,1,400,4000,6,0.5911000000000001,0.004956309110618489
36,1,800,2400,3,0.7147916666666666,0.006319749687377754
37,1,800,2400,4,0.6802083333333333,0.005462148793693237
38,1,800,2400,5,0.6728333333333334,0.006367779134919108
39,1,800,2400,6,0.6564166666666666,0.0051545556980640336
40,1,800,4800,3,0.6551666666666668,0.003757862128628175
41,1,800,4800,4,0.6304791666666666,0.004096333472346538
42,1,800,4800,5,0.6237083333333333,0.006476319041966157
43,1,800,4800,6,0.6137083333333334,0.003951529239842903
44,1,800,8000,3,0.621475,0.0015749999999999827
45,1,800,8000,4,0.6048375,0.0028701317478471325
46,1,800,8000,5,0.5986624999999999,0.00473420069811154
47,1,800,8000,6,0.5887875,0.002529235309337586
48,2,100,300,3,0.6883333333333332,0.010137937550497028
49,2,100,300,4,0.6766666666666666,0.010954451150103328
50,2,100,300,5,0.6456666666666667,0.01125956383603634
51,2,100,300,6,0.631,0.004725815626252612
52,2,100,600,3,0.6338333333333332,0.011596215857865967
53,2,100,600,4,0.62,0.007817359599705725
54,2,100,600,5,0.6078333333333333,0.011181582078479671
55,2,100,600,6,0.6066666666666667,0.008266397845091502
56,2,100,1000,3,0.6083999999999999,0.004270831300812529
57,2,100,1000,4,0.5898,0.009086253353280447
58,2,100,1000,5,0.5898000000000001,0.0042142615011410995
59,2,100,1000,6,0.5801999999999999,0.008669486720677305
60,2,200,600,3,0.6843333333333333,0.010198039027185574
61,2,200,600,4,0.6415,0.007903937134252902
62,2,200,600,5,0.6368333333333334,0.013301002468485859
63,2,200,600,6,0.6208333333333333,0.011186549463033229
64,2,200,1200,3,0.6373333333333334,0.007717224601860165
65,2,200,1200,4,0.6061666666666666,0.007819136070493263
66,2,200,1200,5,0.5973333333333335,0.006300352723811925
67,2,200,1200,6,0.5904166666666667,0.004688194393011753
68,2,200,2000,3,0.6038,0.006396092557178962
69,2,200,2000,4,0.5889,0.006970652767137372
70,2,200,2000,5,0.5758,0.004930517214248415
71,2,200,2000,6,0.5660499999999999,0.002841214529035054
72,2,400,1200,3,0.6838333333333334,0.006843488389215934
73,2,400,1200,4,0.6455,0.011311253000638097
74,2,400,1200,5,0.6216666666666667,0.010814085465005565
75,2,400,1200,6,0.6152500000000001,0.008724566210165157
76,2,400,2400,3,0.6251249999999999,0.00469947544354096
77,2,400,2400,4,0.6052916666666667,0.009821408730138684
78,2,400,2400,5,0.5918333333333334,0.007546614399112288
79,2,400,2400,6,0.5882916666666667,0.0072491618289442505
80,2,400,4000,3,0.602475,0.004182478332281008
81,2,400,4000,4,0.5871000000000001,0.0032676444114989153
82,2,400,4000,5,0.5689,0.006792643079096694
83,2,400,4000,6,0.565625,0.003358291976585722
84,2,800,2400,3,0.6765833333333333,0.0034600899153377843
85,2,800,2400,4,0.6382916666666667,0.0059554188676270905
86,2,800,2400,5,0.6227499999999999,0.004565115308267448
87,2,800,2400,6,0.6088333333333333,0.005799904213768443
88,2,800,4800,3,0.6306458333333333,0.004072317197998116
89,2,800,4800,4,0.5979583333333334,0.004759675817625502
90,2,800,4800,5,0.5874583333333333,0.003887301263230203
91,2,800,4800,6,0.5786666666666667,0.0035809100333109092
92,2,800,8000,3,0.6010000000000001,0.0008979142498034047
93,2,800,8000,4,0.5767249999999999,0.003167609508762088
94,2,800,8000,5,0.568925,0.0021831742944620988
95,2,800,8000,6,0.56225,0.0032451887464367995
96,1,1000,3000,3,0.7134666666666667,0.005518095932117312
97,1,1000,3000,4,0.6824,0.004822273425227396
98,1,1000,3000,5,0.6679999999999999,0.006089862047131013
99,1,1000,3000,6,0.6558666666666666,0.00685871528120551
100,1,1000,6000,3,0.6520833333333333,0.004141963809297545
101,1,1000,6000,4,0.6328166666666666,0.0031273879764998312
102,1,1000,6000,5,0.6205833333333334,0.0034874112228180133
103,1,1000,6000,6,0.6147833333333333,0.003641368959777947
104,1,1000,10000,3,0.61921,0.0019496153466773952
105,1,1000,10000,4,0.6071500000000001,0.002966573032230227
106,1,1000,10000,5,0.59598,0.002163228040580937
107,1,1000,10000,6,0.58826,0.002620093297745129
108,1,1200,3600,3,0.7127777777777777,0.004261271666297697
109,1,1200,3600,4,0.6847222222222222,0.005116945140610401
110,1,1200,3600,5,0.6671111111111111,0.0027159792359067202
111,1,1200,3600,6,0.6593333333333333,0.005476599427513153
112,1,1200,7200,3,0.6527083333333333,0.00283373423694809
113,1,1200,7200,4,0.6320555555555556,0.002919090703451913
114,1,1200,7200,5,0.6191388888888889,0.0033383449979148116
115,1,1200,7200,6,0.6148472222222222,0.00401549318616291
116,1,1200,12000,3,0.6207166666666667,0.0026542535162254162
117,1,1200,12000,4,0.6056333333333332,0.0030167229378832176
