n,m,k,e,t
1000,10000,3,63,10
1000,10000,3,64,11
1000,10000,3,61,12
1000,10000,3,63,13
1000,10000,3,64,14
1000,10000,3,63,15
1000,10000,3,61,16
1000,10000,3,63,17
1000,10000,3,63,18
1000,10000,3,63,19
1000,10000,3,62,1
1000,10000,3,62,20
1000,10000,3,65,21
1000,10000,3,65,22
1000,10000,3,63,23
1000,10000,3,62,24
1000,10000,3,63,25
1000,10000,3,62,26
1000,10000,3,62,27
1000,10000,3,62,28
1000,10000,3,64,29
1000,10000,3,62,2
1000,10000,3,63,30
1000,10000,3,63,31
1000,10000,3,62,32
1000,10000,3,64,33
1000,10000,3,62,34
1000,10000,3,64,35
1000,10000,3,64,36
1000,10000,3,63,37
1000,10000,3,64,38
1000,10000,3,62,39
1000,10000,3,62,3
1000,10000,3,65,40
1000,10000,3,63,41
1000,10000,3,63,42
1000,10000,3,62,43
1000,10000,3,64,44
1000,10000,3,65,45
1000,10000,3,63,46
1000,10000,3,63,47
1000,10000,3,65,48
1000,10000,3,64,49
1000,10000,3,64,4
1000,10000,3,63,50
1000,10000,3,63,5
1000,10000,3,63,6
1000,10000,3,63,7
1000,10000,3,64,8
1000,10000,3,63,9
1000,10000,4,78,10
1000,10000,4,78,11
1000,10000,4,78,12
1000,10000,4,77,13
1000,10000,4,76,14
1000,10000,4,77,15
1000,10000,4,77,16
1000,10000,4,76,17
1000,10000,4,78,18
1000,10000,4,77,19
1000,10000,4,76,1
1000,10000,4,76,20
1000,10000,4,77,21
1000,10000,4,77,22
1000,10000,4,77,23
1000,10000,4,77,24
1000,10000,4,78,25
1000,10000,4,77,26
1000,10000,4,77,27
1000,10000,4,78,28
1000,10000,4,77,29
1000,10000,4,77,2
1000,10000,4,77,30
1000,10000,4,79,31
1000,10000,4,76,32
1000,10000,4,77,33
1000,10000,4,77,34
1000,10000,4,77,35
1000,10000,4,77,36
1000,10000,4,76,37
1000,10000,4,77,38
1000,10000,4,77,39
1000,10000,4,76,3
1000,10000,4,76,40
1000,10000,4,76,41
1000,10000,4,76,42
1000,10000,4,77,43
1000,10000,4,78,44
1000,10000,4,76,45
1000,10000,4,78,46
1000,10000,4,78,47
1000,10000,4,78,48
1000,10000,4,77,49
1000,10000,4,77,4
1000,10000,4,77,50
1000,10000,4,76,5
1000,10000,4,76,6
1000,10000,4,76,7
1000,10000,4,77,8
1000,10000,4,77,9
1000,10000,5,77,10
1000,10000,5,77,11
1000,10000,5,77,12
1000,10000,5,79,13
1000,10000,5,77,14
1000,10000,5,78,15
1000,10000,5,77,16
1000,10000,5,77,17
1000,10000,5,79,18
1000,10000,5,78,19
1000,10000,5,77,1
1000,10000,5,78,20
1000,10000,5,78,21
1000,10000,5,77,22
1000,10000,5,79,23
1000,10000,5,78,24
1000,10000,5,78,25
1000,10000,5,77,26
1000,10000,5,78,27
1000,10000,5,77,28
1000,10000,5,77,29
1000,10000,5,79,2
1000,10000,5,77,30
1000,10000,5,77,31
1000,10000,5,78,32
1000,10000,5,77,33
1000,10000,5,77,34
1000,10000,5,77,35
1000,10000,5,78,36
1000,10000,5,78,37
1000,10000,5,78,38
1000,10000,5,78,39
1000,10000,5,78,3
1000,10000,5,78,40
1000,10000,5,79,41
1000,10000,5,77,42
1000,10000,5,77,43
1000,10000,5,77,44
1000,10000,5,78,45
1000,10000,5,78,46
1000,10000,5,78,47
1000,10000,5,79,48
1000,10000,5,79,49
1000,10000,5,78,4
1000,10000,5,77,50
1000,10000,5,78,5
1000,10000,5,78,6
1000,10000,5,78,7
1000,10000,5,79,8
1000,10000,5,78,9
1000,10000,6,75,10
1000,10000,6,74,11
1000,10000,6,75,12
1000,10000,6,74,13
1000,10000,6,74,14
1000,10000,6,75,15
1000,10000,6,74,16
1000,10000,6,75,17
1000,10000,6,74,18
1000,10000,6,75,19
1000,10000,6,75,1
1000,10000,6,74,20
1000,10000,6,75,21
1000,10000,6,73,22
1000,10000,6,74,23
1000,10000,6,74,24
1000,10000,6,75,25
1000,10000,6,74,26
1000,10000,6,75,27
1000,10000,6,75,28
1000,10000,6,74,29
1000,10000,6,75,2
1000,10000,6,73,30
1000,10000,6,75,31
1000,10000,6,74,32
1000,10000,6,75,33
1000,10000,6,75,34
1000,10000,6,76,35
1000,10000,6,74,36
1000,10000,6,74,37
1000,10000,6,75,38
1000,10000,6,74,39
1000,10000,6,74,3
1000,10000,6,75,40
1000,10000,6,73,41
1000,10000,6,75,42
1000,10000,6,75,43
1000,10000,6,74,44
1000,10000,6,75,45
1000,10000,6,75,46
1000,10000,6,75,47
1000,10000,6,74,48
1000,10000,6,75,49
1000,10000,6,74,4
1000,10000,6,75,50
1000,10000,6,75,5
1000,10000,6,74,6
1000,10000,6,75,7
1000,10000,6,73,8
1000,10000,6,75,9
1000,3000,3,113,10
1000,3000,3,112,11
1000,3000,3,113,12
1000,3000,3,111,13
1000,3000,3,113,14
1000,3000,3,113,15
1000,3000,3,112,16
1000,3000,3,112,17
1000,3000,3,113,18
1000,3000,3,111,19
1000,3000,3,112,1
1000,3000,3,113,20
1000,3000,3,111,21
1000,3000,3,110,22
1000,3000,3,111,23
1000,3000,3,110,24
1000,3000,3,110,25
1000,3000,3,112,26
1000,3000,3,113,27
1000,3000,3,112,28
1000,3000,3,114,29
1000,3000,3,113,2
1000,3000,3,113,30
1000,3000,3,113,31
1000,3000,3,112,32
1000,3000,3,110,33
1000,3000,3,111,34
1000,3000,3,112,35
1000,3000,3,113,36
1000,3000,3,112,37
1000,3000,3,113,38
1000,3000,3,113,39
1000,3000,3,113,3
1000,3000,3,113,40
1000,3000,3,113,41
1000,3000,3,112,42
1000,3000,3,114,43
1000,3000,3,112,44
1000,3000,3,113,45
1000,3000,3,112,46
1000,3000,3,113,47
1000,3000,3,112,48
1000,3000,3,112,49
1000,3000,3,112,4
1000,3000,3,113,50
1000,3000,3,112,5
1000,3000,3,111,6
1000,3000,3,113,7
1000,3000,3,112,8
1000,3000,3,112,9
1000,3000,4,119,10
1000,3000,4,120,11
1000,3000,4,119,12
1000,3000,4,121,13
1000,3000,4,121,14
1000,3000,4,119,15
1000,3000,4,120,16
1000,3000,4,118,17
1000,3000,4,120,18
1000,3000,4,119,19
1000,3000,4,119,1
1000,3000,4,119,20
1000,3000,4,120,21
1000,3000,4,119,22
1000,3000,4,119,23
1000,3000,4,121,24
1000,3000,4,119,25
1000,3000,4,119,26
1000,3000,4,118,27
1000,3000,4,118,28
1000,3000,4,119,29
1000,3000,4,119,2
1000,3000,4,120,30
1000,3000,4,120,31
1000,3000,4,119,32
1000,3000,4,118,33
1000,3000,4,119,34
1000,3000,4,121,35
1000,3000,4,119,36
1000,3000,4,121,37
1000,3000,4,120,38
1000,3000,4,119,39
1000,3000,4,119,3
1000,3000,4,121,40
1000,3000,4,121,41
1000,3000,4,120,42
1000,3000,4,120,43
1000,3000,4,121,44
1000,3000,4,120,45
1000,3000,4,119,46
1000,3000,4,121,47
1000,3000,4,119,48
1000,3000,4,120,49
1000,3000,4,119,4
1000,3000,4,120,50
1000,3000,4,120,5
1000,3000,4,120,6
1000,3000,4,121,7
1000,3000,4,119,8
1000,3000,4,120,9
1000,3000,5,112,10
1000,3000,5,112,11
1000,3000,5,113,12
1000,3000,5,115,13
1000,3000,5,113,14
1000,3000,5,113,15
1000,3000,5,113,16
1000,3000,5,115,17
1000,3000,5,113,18
1000,3000,5,113,19
1000,3000,5,114,1
1000,3000,5,113,20
1000,3000,5,114,21
1000,3000,5,114,22
1000,3000,5,113,23
1000,3000,5,113,24
1000,3000,5,112,25
1000,3000,5,113,26
1000,3000,5,113,27
1000,3000,5,113,28
1000,3000,5,114,29
1000,3000,5,114,2
1000,3000,5,113,30
1000,3000,5,113,31
1000,3000,5,112,32
1000,3000,5,113,33
1000,3000,5,114,34
1000,3000,5,114,35
1000,3000,5,113,36
1000,3000,5,113,37
1000,3000,5,113,38
1000,3000,5,113,39
1000,3000,5,114,3
1000,3000,5,115,40
1000,3000,5,113,41
1000,3000,5,112,42
1000,3000,5,115,43
1000,3000,5,113,44
1000,3000,5,113,45
1000,3000,5,112,46
1000,3000,5,113,47
1000,3000,5,113,48
1000,3000,5,113,49
1000,3000,5,114,4
1000,3000,5,113,50
1000,3000,5,114,5
1000,3000,5,113,6
1000,3000,5,112,7
1000,3000,5,114,8
1000,3000,5,113,9
1000,3000,6,105,10
1000,3000,6,105,11
1000,3000,6,104,12
1000,3000,6,105,13
1000,3000,6,102,14
1000,3000,6,103,15
1000,3000,6,104,16
1000,3000,6,106,17
1000,3000,6,104,18
1000,3000,6,105,19
1000,3000,6,104,1
1000,3000,6,105,20
1000,3000,6,105,21
1000,3000,6,103,22
1000,3000,6,104,23
1000,3000,6,104,24
1000,3000,6,106,25
1000,3000,6,106,26
1000,3000,6,105,27
1000,3000,6,104,28
1000,3000,6,104,29
1000,3000,6,105,2
1000,3000,6,104,30
1000,3000,6,105,31
1000,3000,6,105,32
1000,3000,6,106,33
1000,3000,6,105,34
1000,3000,6,105,35
1000,3000,6,105,36
1000,3000,6,104,37
1000,3000,6,103,38
1000,3000,6,104,39
1000,3000,6,106,3
1000,3000,6,103,40
1000,3000,6,105,41
1000,3000,6,105,42
1000,3000,6,105,43
1000,3000,6,106,44
1000,3000,6,104,45
1000,3000,6,105,46
1000,3000,6,104,47
1000,3000,6,104,48
1000,3000,6,105,49
1000,3000,6,103,4
1000,3000,6,104,50
1000,3000,6,103,5
1000,3000,6,103,6
1000,3000,6,105,7
1000,3000,6,106,8
1000,3000,6,103,9
1000,6000,3,80,10
1000,6000,3,81,11
1000,6000,3,79,12
1000,6000,3,79,13
1000,6000,3,80,14
1000,6000,3,78,15
1000,6000,3,79,16
1000,6000,3,79,17
1000,6000,3,81,18
1000,6000,3,79,19
1000,6000,3,80,1
1000,6000,3,78,20
1000,6000,3,80,21
1000,6000,3,77,22
1000,6000,3,79,23
1000,6000,3,79,24
1000,6000,3,79,25
1000,6000,3,79,26
1000,6000,3,79,27
1000,6000,3,79,28
1000,6000,3,81,29
1000,6000,3,81,2
1000,6000,3,81,30
1000,6000,3,81,31
1000,6000,3,80,32
1000,6000,3,81,33
1000,6000,3,79,34
1000,6000,3,80,35
1000,6000,3,80,36
1000,6000,3,79,37
1000,6000,3,80,38
1000,6000,3,79,39
1000,6000,3,78,3
1000,6000,3,80,40
1000,6000,3,80,41
1000,6000,3,79,42
1000,6000,3,80,43
1000,6000,3,80,44
1000,6000,3,80,45
1000,6000,3,79,46
1000,6000,3,80,47
1000,6000,3,79,48
1000,6000,3,79,49
1000,6000,3,77,4
1000,6000,3,80,50
1000,6000,3,79,5
1000,6000,3,81,6
1000,6000,3,79,7
1000,6000,3,78,8
1000,6000,3,78,9
1000,6000,4,91,10
1000,6000,4,91,11
1000,6000,4,92,12
1000,6000,4,92,13
1000,6000,4,92,14
1000,6000,4,92,15
1000,6000,4,92,16
1000,6000,4,90,17
1000,6000,4,92,18
1000,6000,4,92,19
1000,6000,4,92,1
1000,6000,4,92,20
1000,6000,4,91,21
1000,6000,4,91,22
1000,6000,4,92,23
1000,6000,4,91,24
1000,6000,4,93,25
1000,6000,4,90,26
1000,6000,4,90,27
1000,6000,4,92,28
1000,6000,4,91,29
1000,6000,4,92,2
1000,6000,4,92,30
1000,6000,4,92,31
1000,6000,4,90,32
1000,6000,4,91,33
1000,6000,4,92,34
1000,6000,4,92,35
1000,6000,4,92,36
1000,6000,4,93,37
1000,6000,4,91,38
1000,6000,4,92,39
1000,6000,4,92,3
1000,6000,4,92,40
1000,6000,4,91,41
1000,6000,4,91,42
1000,6000,4,91,43
1000,6000,4,90,44
1000,6000,4,90,45
1000,6000,4,92,46
1000,6000,4,91,47
1000,6000,4,92,48
1000,6000,4,93,49
1000,6000,4,91,4
1000,6000,4,90,50
1000,6000,4,90,5
1000,6000,4,90,6
1000,6000,4,92,7
1000,6000,4,93,8
1000,6000,4,91,9
1000,6000,5,90,10
1000,6000,5,89,11
1000,6000,5,90,12
1000,6000,5,90,13
1000,6000,5,89,14
1000,6000,5,90,15
1000,6000,5,89,16
1000,6000,5,89,17
1000,6000,5,91,18
1000,6000,5,91,19
1000,6000,5,90,1
1000,6000,5,91,20
1000,6000,5,91,21
1000,6000,5,90,22
1000,6000,5,90,23
1000,6000,5,90,24
1000,6000,5,90,25
1000,6000,5,90,26
1000,6000,5,90,27
1000,6000,5,90,28
1000,6000,5,90,29
1000,6000,5,90,2
1000,6000,5,91,30
1000,6000,5,90,31
1000,6000,5,90,32
1000,6000,5,90,33
1000,6000,5,90,34
1000,6000,5,91,35
1000,6000,5,91,36
1000,6000,5,90,37
1000,6000,5,89,38
1000,6000,5,90,39
1000,6000,5,91,3
1000,6000,5,91,40
1000,6000,5,90,41
1000,6000,5,90,42
1000,6000,5,91,43
1000,6000,5,91,44
1000,6000,5,89,45
1000,6000,5,89,46
1000,6000,5,90,47
1000,6000,5,91,48
1000,6000,5,91,49
1000,6000,5,90,4
1000,6000,5,91,50
1000,6000,5,88,5
1000,6000,5,90,6
1000,6000,5,90,7
1000,6000,5,90,8
1000,6000,5,90,9
1000,6000,6,86,10
1000,6000,6,85,11
1000,6000,6,85,12
1000,6000,6,85,13
1000,6000,6,86,14
1000,6000,6,85,15
1000,6000,6,85,16
1000,6000,6,85,17
1000,6000,6,86,18
1000,6000,6,84,19
1000,6000,6,86,1
1000,6000,6,86,20
1000,6000,6,85,21
1000,6000,6,86,22
1000,6000,6,86,23
1000,6000,6,85,24
1000,6000,6,86,25
1000,6000,6,86,26
1000,6000,6,84,27
1000,6000,6,86,28
1000,6000,6,85,29
1000,6000,6,85,2
1000,6000,6,85,30
1000,6000,6,85,31
1000,6000,6,86,32
1000,6000,6,85,33
1000,6000,6,85,34
1000,6000,6,87,35
1000,6000,6,85,36
1000,6000,6,85,37
1000,6000,6,85,38
1000,6000,6,86,39
1000,6000,6,84,3
1000,6000,6,86,40
1000,6000,6,86,41
1000,6000,6,85,42
1000,6000,6,86,43
1000,6000,6,85,44
1000,6000,6,85,45
1000,6000,6,86,46
1000,6000,6,86,47
1000,6000,6,84,48
1000,6000,6,86,49
1000,6000,6,85,4
1000,6000,6,85,50
1000,6000,6,86,5
1000,6000,6,86,6
1000,6000,6,85,7
1000,6000,6,85,8
1000,6000,6,85,9
1200,12000,3,75,10
1200,12000,3,76,11
1200,12000,3,76,12
1200,12000,3,75,13
1200,12000,3,76,14
1200,12000,3,76,15
1200,12000,3,77,16
1200,12000,3,76,17
1200,12000,3,76,18
1200,12000,3,76,19
1200,12000,3,75,1
1200,12000,3,76,20
1200,12000,3,75,21
1200,12000,3,76,22
1200,12000,3,75,23
1200,12000,3,76,24
1200,12000,3,78,25
1200,12000,3,75,26
1200,12000,3,76,27
1200,12000,3,76,28
1200,12000,3,76,29
1200,12000,3,77,2
1200,12000,3,75,30
1200,12000,3,75,31
1200,12000,3,77,32
1200,12000,3,77,33
1200,12000,3,77,34
1200,12000,3,75,35
1200,12000,3,75,36
1200,12000,3,75,37
1200,12000,3,75,38
1200,12000,3,77,39
1200,12000,3,76,3
1200,12000,3,76,40
1200,12000,3,75,41
1200,12000,3,76,42
1200,12000,3,76,43
1200,12000,3,77,44
1200,12000,3,77,45
1200,12000,3,77,46
1200,12000,3,76,47
1200,12000,3,75,48
1200,12000,3,76,49
1200,12000,3,75,4
1200,12000,3,76,50
1200,12000,3,76,5
1200,12000,3,75,6
1200,12000,3,77,7
1200,12000,3,76,8
1200,12000,3,76,9
1200,12000,4,94,10
1200,12000,4,92,11
1200,12000,4,93,12
1200,12000,4,94,13
1200,12000,4,93,14
1200,12000,4,94,15
1200,12000,4,94,16
1200,12000,4,94,17
1200,12000,4,93,18
1200,12000,4,93,19
1200,12000,4,92,1
1200,12000,4,93,20
1200,12000,4,93,21
1200,12000,4,93,22
1200,12000,4,93,23
1200,12000,4,92,24
1200,12000,4,93,25
1200,12000,4,93,26
1200,12000,4,92,27
1200,12000,4,93,28
1200,12000,4,92,29
1200,12000,4,91,2
1200,12000,4,93,30
1200,12000,4,92,31
1200,12000,4,94,32
1200,12000,4,93,33
1200,12000,4,92,34
1200,12000,4,93,35
1200,12000,4,92,36
1200,12000,4,92,37
1200,12000,4,93,38
1200,12000,4,94,39
1200,12000,4,92,3
1200,12000,4,92,40
1200,12000,4,92,41
1200,12000,4,93,42
1200,12000,4,94,43
1200,12000,4,93,44
1200,12000,4,93,45
1200,12000,4,93,46
1200,12000,4,92,47
1200,12000,4,93,48
1200,12000,4,94,49
1200,12000,4,94,4
1200,12000,4,92,50
1200,12000,4,92,5
1200,12000,4,93,6
1200,12000,4,93,7
1200,12000,4,93,8
1200,12000,4,92,9
1200,12000,5,94,10
1200,12000,5,92,11
1200,12000,5,93,12
1200,12000,5,93,13
1200,12000,5,93,14
1200,12000,5,93,15
1200,12000,5,95,16
1200,12000,5,94,17
1200,12000,5,93,18
1200,12000,5,94,19
1200,12000,5,95,1
1200,12000,5,94,20
1200,12000,5,95,21
1200,12000,5,94,22
1200,12000,5,95,23
1200,12000,5,94,24
1200,12000,5,94,25
1200,12000,5,94,26
1200,12000,5,94,27
1200,12000,5,95,28
1200,12000,5,93,29
1200,12000,5,95,2
1200,12000,5,93,30
